16:11:52 610040 A     
16:11:57 5000 A     
16:12:02 5000 A Pause    
16:12:07 5000 A Pause    
16:12:12 5000 A Pause    
16:12:17 5000 A Pause    
16:12:22 5000 A Pause    
16:12:27 5000 A Pause    
16:12:32 5000 A Pause    
16:12:37 5000 A Pause    
16:12:42 5000 A Pause    
16:12:47 5000 A Pause    
16:12:52 5000 A Pause    
16:12:57 5000 A Pause    
16:13:02 5000 A Pause    
16:13:07 5000 A Pause    
16:13:12 5000 A Pause    
16:13:17 5000 A Pause    
16:13:22 5000 A Pause    
16:13:27 5000 A Pause    
16:13:32 5000 A Pause    
16:13:37 5000 A Pause    
16:13:42 5000 A Pause    
16:13:47 5000 A Pause    
16:13:52 5000 A Pause    
16:13:57 5000 A Pause    
16:14:02 5000 A Pause    
16:14:07 5000 A Pause    
16:14:12 5000 A Pause    
16:14:17 5000 A Pause    
16:14:22 5000 A Pause    
16:14:27 5000 A Pause    
16:14:32 5000 A Pause    
16:14:37 5000 A Pause    
16:14:42 5000 A Pause    
16:14:47 5000 A Pause    
16:14:52 5000 A Pause    
16:14:57 5000 A Pause    
16:15:02 5000 A Pause    
16:15:07 5000 A Pause    
16:15:12 5000 A Pause    
16:15:17 5000 A Pause    
16:15:22 5000 A Pause    
16:15:27 5000 A Pause    
16:15:32 5000 A Pause    
16:15:37 5000 A Pause    
16:15:42 5000 A Pause    
16:15:47 5000 A Pause    
16:15:52 5000 A Pause    
16:15:57 5000 A Pause    
16:16:02 5000 A Pause    
16:16:07 5000 A Pause    
16:16:12 5000 A Pause    
16:16:17 5000 A Pause    
16:16:22 5000 A Pause    
16:16:27 5000 A Pause    
16:16:32 5000 A Pause    
16:16:37 5000 A Pause    
16:16:42 5000 A Pause    
16:16:47 5000 A Pause    
16:16:52 5000 A Pause    
16:16:57 5000 A Pause    
16:17:02 5000 A Pause    
16:17:07 5000 A Pause    
16:17:12 5000 A Pause    
16:17:17 5000 A Pause    
16:17:22 5000 A Pause    
16:17:27 5000 A Pause    
