11:30:59 5040 A     
11:31:04 5000 A     
11:31:09 5000 A Pause    
11:31:14 5000 A Pause    
11:31:19 5000 A Pause    
11:31:24 5000 A Pause    
11:31:29 5000 A Pause    
11:31:34 5000 A Pause    
11:31:39 5000 A Pause    
11:31:44 5000 A Pause    
11:31:49 5000 A Pause    
11:31:54 5000 A Pause    
11:31:59 5000 A Pause    
11:32:04 5000 A Pause    
11:32:09 5000 A Pause    
11:32:14 5000 A Pause    
11:32:19 5000 A Pause    
11:32:24 5000 A Pause    
11:32:29 5000 A Pause    
11:32:34 5000 A Pause    
11:32:39 5000 A Pause    
11:32:44 5000 A Pause    
11:32:49 5000 A Pause    
11:32:54 5000 A Pause    
11:32:59 5000 A Pause    
11:33:04 5000 A Pause    
11:33:09 5000 A Pause    
11:33:14 5000 A Pause    
11:33:19 5000 A Pause    
11:33:24 5000 A Pause    
11:33:29 5000 A Pause    
11:33:34 5000 A Pause    
11:33:39 5000 A Pause    
11:33:44 5000 A Pause    
11:33:49 5000 A Pause    
11:33:54 5000 A Pause    
11:33:59 5000 A Pause    
11:34:04 5000 A Pause    
11:34:09 5000 A Pause    
11:34:14 5000 A Pause    
11:34:19 5000 A Pause    
11:34:24 5000 A Pause    
11:34:29 5000 A Pause    
11:34:34 5000 A Pause    
11:34:39 5000 A Pause    
11:34:44 5000 A Pause    
11:34:49 5000 A Pause    
11:34:54 5000 A Pause    
11:34:59 5000 A Pause    
11:35:04 5000 A Pause    
11:35:09 5000 A Pause    
11:35:14 5000 A Pause    
11:35:19 5000 A Pause    
11:35:24 5000 A Pause    
11:35:29 5000 A Pause    
11:35:34 5000 A Pause    
11:35:39 5000 A Pause    
11:35:44 5000 A Pause    
11:35:49 5000 A Pause    
11:35:54 5000 A Pause    
11:35:59 5000 A Pause    
11:36:04 5000 A Pause    
11:36:09 5000 A Pause    
11:36:14 5000 A Pause    
11:36:19 5000 A Pause    
11:36:24 5000 A Pause    
11:36:29 5000 A Pause    
11:36:34 5000 A Pause    
11:36:39 5000 A Pause    
11:36:44 5000 A Pause    
11:36:49 5000 A Pause    
11:36:54 5000 A Pause    
11:36:59 5000 A Pause    
11:37:04 5000 A Pause    
11:37:09 5000 A Pause    
11:37:14 5000 A Pause    
11:37:19 5000 A Pause    
11:37:24 5000 A Pause    
11:37:29 5000 A Pause    
11:37:34 5000 A Pause    
11:37:39 5000 A Pause    
11:37:44 5000 A Pause    
11:37:49 5000 A Pause    
11:37:54 5000 A Pause    
11:37:59 5000 A Pause    
11:38:04 5000 A Pause    
11:38:09 5000 A Pause    
11:38:14 5000 A Pause    
11:38:19 5000 A Pause    
11:38:24 5000 A Pause    
11:38:29 5000 A Pause    
11:38:34 5000 A Pause    
11:38:39 5000 A Pause    
11:38:44 5000 A Pause    
11:38:49 5000 A Pause    
11:38:54 5000 A Pause    
11:38:59 5000 A Pause    
11:39:04 5000 A Pause    
11:39:09 5000 A Pause    
11:39:14 5000 A Pause    
11:39:19 5000 A Pause    
11:39:24 5000 A Pause    
11:39:29 5000 A Pause    
11:39:34 5000 A Pause    
11:39:39 5000 A Pause    
11:39:44 5000 A Pause    
11:39:49 5000 A Pause    
11:39:54 5000 A Pause    
11:39:59 5000 A Pause    
11:40:04 5000 A Pause    
11:40:09 5000 A Pause    
11:40:14 5000 A Pause    
11:40:19 5000 A Pause    
11:40:24 5000 A Pause    
11:40:29 5000 A Pause    
11:40:34 5000 A Pause    
11:40:39 5000 A Pause    
11:40:44 5000 A Pause    
11:40:49 5000 A Pause    
11:40:54 5000 A Pause    
11:40:59 5000 A Pause    
11:41:04 5000 A Pause    
11:41:09 5000 A Pause    
11:41:14 5000 A Pause    
11:41:19 5000 A Pause    
11:41:24 5000 A Pause    
11:41:29 5000 A Pause    
11:41:34 5000 A Pause    
11:41:39 5000 A Pause    
11:41:44 5000 A Pause    
11:41:49 5000 A Pause    
11:41:54 5000 A Pause    
11:41:59 5000 A Pause    
11:42:04 5000 A Pause    
11:42:09 5000 A Pause    
11:42:14 5000 A Pause    
11:42:19 5000 A Pause    
11:42:24 5000 A Pause    
11:42:29 5000 A Pause    
11:42:34 5000 A Pause    
11:42:39 5000 A Pause    
11:42:44 5000 A Pause    
11:42:49 5000 A Pause    
11:42:54 5000 A Pause    
11:42:59 5000 A Pause    
11:43:04 5000 A Pause    
11:43:09 5000 A Pause    
11:43:14 5000 A Pause    
11:43:19 5000 A Pause    
11:43:24 5000 A Pause    
11:43:29 5000 A Pause    
11:43:34 5000 A Pause    
11:43:39 5000 A Pause    
11:43:44 5000 A Pause    
11:43:49 5000 A Pause    
11:43:54 5000 A Pause    
11:43:59 5000 A Pause    
11:44:04 5000 A Pause    
11:44:09 5000 A Pause    
11:44:14 5000 A Pause    
11:44:19 5000 A Pause    
11:44:24 5000 A Pause    
11:44:29 5000 A Pause    
11:44:34 5000 A Pause    
11:44:39 5000 A Pause    
11:44:44 5000 A Pause    
11:44:49 5000 A Pause    
11:44:54 5000 A Pause    
11:44:59 5000 A Pause    
11:45:04 5000 A Pause    
11:45:09 5000 A Pause    
11:45:14 5000 A Pause    
11:45:19 5000 A Pause    
11:45:24 5000 A Pause    
11:45:29 5000 A Pause    
11:45:34 5000 A Pause    
11:45:39 5000 A Pause    
11:45:44 5000 A Pause    
11:45:49 5000 A Pause    
11:45:54 5000 A Pause    
11:45:59 5000 A Pause    
11:46:04 5000 A Pause    
11:46:09 5000 A Pause    
11:46:14 5000 A Pause    
11:46:19 5000 A Pause    
11:46:24 5000 A Pause    
11:46:29 5000 A Pause    
11:46:34 5000 A Pause    
11:46:39 5000 A Pause    
11:46:44 5000 A Pause    
