10:49:07 5040 A     
10:49:12 5000 A     
10:49:17 5000 A Pause    
10:49:22 5000 A Pause    
10:49:27 5000 A Pause    
10:49:32 5000 A Pause    
10:49:37 5000 A Pause    
10:49:42 5000 A Pause    
10:49:47 5000 A Pause    
10:49:52 5000 A Pause    
10:49:57 5000 A Pause    
10:50:02 5000 A Pause    
10:50:07 5000 A Pause    
10:50:12 5000 A Pause    
10:50:17 5000 A Pause    
10:50:22 5000 A Pause    
10:50:27 5000 A Pause    
10:50:32 5000 A Pause    
10:50:37 5000 A Pause    
10:50:42 5000 A Pause    
10:50:47 5000 A Pause    
10:50:52 5000 A Pause    
10:50:57 5000 A Pause    
10:51:02 5000 A Pause    
10:51:07 5000 A Pause    
10:51:12 5000 A Pause    
10:51:17 5000 A Pause    
10:51:22 5000 A Pause    
10:51:27 5000 A Pause    
10:51:32 5000 A Pause    
10:51:37 5000 A Pause    
10:51:42 5000 A Pause    
10:51:47 5000 A Pause    
10:51:52 5000 A Pause    
10:51:57 5000 A Pause    
10:52:02 5000 A Pause    
10:52:07 5000 A Pause    
10:52:12 5000 A Pause    
10:52:17 5000 A Pause    
10:52:22 5000 A Pause    
10:52:27 5000 A Pause    
10:52:32 5000 A Pause    
10:52:37 5000 A Pause    
10:52:42 5000 A Pause    
10:52:47 5000 A Pause    
10:52:52 5000 A Pause    
10:52:57 5000 A Pause    
10:53:02 5000 A Pause    
10:53:07 5000 A Pause    
10:53:12 5000 A Pause    
10:53:17 5000 A Pause    
10:53:22 5000 A Pause    
10:53:27 5000 A Pause    
10:53:32 5000 A Pause    
10:53:37 5000 A Pause    
10:53:42 5000 A Pause    
10:53:47 5000 A Pause    
10:53:52 5000 A Pause    
10:53:57 5000 A Pause    
10:54:02 5000 A Pause    
10:54:07 5000 A Pause    
10:54:12 5000 A Pause    
10:54:17 5000 A Pause    
10:54:22 5000 A Pause    
10:54:27 5000 A Pause    
10:54:32 5000 A Pause    
10:54:37 5000 A Pause    
10:54:42 5000 A Pause    
10:54:47 5000 A Pause    
10:54:52 5000 A Pause    
10:54:57 5000 A Pause    
10:55:02 5000 A Pause    
10:55:07 5000 A Pause    
10:55:12 5000 A Pause    
10:55:17 5000 A Pause    
10:55:22 5000 A Pause    
10:55:27 5000 A Pause    
10:55:32 5000 A Pause    
10:55:37 5000 A Pause    
10:55:42 5000 A Pause    
10:55:47 5000 A Pause    
10:55:52 5000 A Pause    
10:55:57 5000 A Pause    
10:56:02 5000 A Pause    
10:56:07 5000 A Pause    
10:56:12 5000 A Pause    
10:56:17 5000 A Pause    
10:56:22 5000 A Pause    
10:56:27 5000 A Pause    
10:56:32 5000 A Pause    
10:56:37 5000 A Pause    
10:56:42 5000 A Pause    
10:56:47 5000 A Pause    
10:56:52 5000 A Pause    
10:56:57 5000 A Pause    
10:57:02 5000 A Pause    
10:57:07 5000 A Pause    
10:57:12 5000 A Pause    
10:57:17 5000 A Pause    
10:57:22 5000 A Pause    
10:57:27 5000 A Pause    
10:57:32 5000 A Pause    
10:57:37 5000 A Pause    
10:57:42 5000 A Pause    
10:57:47 5000 A Pause    
10:57:52 5000 A Pause    
10:57:57 5000 A Pause    
10:58:02 5000 A Pause    
10:58:07 5000 A Pause    
10:58:12 5000 A Pause    
10:58:17 5000 A Pause    
10:58:22 5000 A Pause    
10:58:27 5000 A Pause    
10:58:32 5000 A Pause    
10:58:37 5000 A Pause    
10:58:42 5000 A Pause    
10:58:44 2010 A PR    
10:58:44 310 A PR    
10:58:45 775 A CP    
10:58:45 600 A PR    
10:58:46 925 A CP    
10:58:47 375 A PR    
10:58:47 350 A PR    
10:58:48 685 A CP    
10:58:48 455 A PR    
10:58:49 500 A     
10:58:49 510 A     
10:58:49 220 A PR    
10:58:50 740 A CP    
10:58:50 445 A     
10:58:51 575 A     
10:58:51 340 A PR    
10:58:52 525 A CP    
10:58:53 1080 A MB    
10:58:53 385 A PR    
10:58:58 5000 A CP    
10:59:03 5000 A Pause    
10:59:06 2310 A MB    
10:59:06 440 A PR    
10:59:06 380 A PR    
10:59:09 2105 A CP    
10:59:09 840 A     
10:59:14 5000 A Pause    
10:59:15 580 A PR    
10:59:15 470 A PR    
10:59:17 1715 A CP    
10:59:19 2160 A MB    
10:59:20 420 A PR    
10:59:20 725 A CP    
10:59:23 2390 A CP    
10:59:24 670 A PR    
10:59:24 415 A PR    
10:59:24 290 A PR    
10:59:25 820 A CP    
10:59:26 1040 A     
10:59:27 430 A PR    
10:59:27 685 A CP    
10:59:28 635 A     
10:59:28 455 A PR    
10:59:29 385 A PR    
10:59:29 695 A CP    
10:59:30 540 A     
10:59:30 420 A PR    
10:59:31 235 A PR    
10:59:31 550 A CP    
10:59:32 470 A     
10:59:32 465 A     
10:59:33 710 A     
10:59:33 370 A PR    
10:59:34 655 A CP    
10:59:34 345 A PR    
10:59:35 495 A     
10:59:35 580 A     
10:59:35 235 A PR    
10:59:37 1725 A CP    
10:59:38 475 A     
10:59:38 780 A     
10:59:39 520 A     
10:59:39 405 A PR    
10:59:40 625 A CP    
10:59:41 810 A     
10:59:42 765 A     
10:59:42 760 A     
10:59:43 780 A     
10:59:44 775 A     
10:59:44 605 A     
10:59:45 910 A     
10:59:47 1525 A MB    
10:59:48 785 N     
10:59:48 755 N     
10:59:49 765 N     
10:59:50 775 N     
10:59:51 755 N     
10:59:52 770 N     
10:59:52 785 N     
10:59:53 750 N     
10:59:54 770 N     
10:59:55 785 N     
10:59:55 760 N     
10:59:56 750 N     
10:59:57 765 N     
10:59:58 785 N     
10:59:58 765 N     
10:59:59 750 N     
11:00:00 800 N     
11:00:01 765 N     
11:00:02 755 N     
11:00:02 790 N     
11:00:03 770 N     
11:00:04 755 N     
11:00:05 795 N     
11:00:05 785 N     
11:00:06 750 N     
11:00:07 800 N     
11:00:08 790 N     
11:00:09 755 N     
11:00:09 820 N     
11:00:10 795 N     
