10:35:48 5000 A     
10:35:53 5000 A     
10:35:58 5000 A Pause    
10:36:03 5000 A Pause    
10:36:08 5000 A Pause    
10:36:13 5000 A Pause    
10:36:18 5000 A Pause    
10:36:23 5000 A Pause    
10:36:28 5000 A Pause    
10:36:33 5000 A Pause    
10:36:38 5000 A Pause    
10:36:43 5000 A Pause    
10:36:48 5000 A Pause    
10:36:53 5000 A Pause    
10:36:58 5000 A Pause    
10:37:03 5000 A Pause    
10:37:08 5000 A Pause    
10:37:13 5000 A Pause    
10:37:18 5000 A Pause    
10:37:23 5000 A Pause    
10:37:28 5000 A Pause    
10:37:33 5000 A Pause    
10:37:38 5000 A Pause    
10:37:43 5000 A Pause    
10:37:48 5000 A Pause    
10:37:53 5000 A Pause    
10:37:58 5000 A Pause    
10:38:03 5000 A Pause    
10:38:08 5000 A Pause    
10:38:13 5000 A Pause    
10:38:18 5000 A Pause    
10:38:23 5000 A Pause    
10:38:28 5000 A Pause    
10:38:33 5000 A Pause    
10:38:38 5000 A Pause    
10:38:43 5000 A Pause    
10:38:48 5000 A Pause    
10:38:53 5000 A Pause    
10:38:58 5000 A Pause    
10:39:03 5000 A Pause    
10:39:08 5000 A Pause    
10:39:13 5000 A Pause    
10:39:18 5000 A Pause    
10:39:23 5000 A Pause    
10:39:28 5000 A Pause    
10:39:33 5000 A Pause    
10:39:38 5000 A Pause    
10:39:43 5000 A Pause    
10:39:48 5000 A Pause    
10:39:53 5000 A Pause    
10:39:58 5000 A Pause    
10:40:03 5000 A Pause    
10:40:08 5000 A Pause    
10:40:13 5000 A Pause    
10:40:18 5000 A Pause    
10:40:23 5000 A Pause    
10:40:28 5000 A Pause    
10:40:33 5000 A Pause    
10:40:38 5000 A Pause    
10:40:43 5000 A Pause    
10:40:48 5000 A Pause    
10:40:53 5000 A Pause    
10:40:58 5000 A Pause    
10:41:03 5000 A Pause    
10:41:08 5000 A Pause    
10:41:13 5000 A Pause    
10:41:18 5000 A Pause    
10:41:23 5000 A Pause    
10:41:28 5000 A Pause    
10:41:33 5000 A Pause    
10:41:38 5000 A Pause    
10:41:43 5000 A Pause    
10:41:48 5000 A Pause    
10:41:53 5000 A Pause    
10:41:58 5000 A Pause    
10:42:03 5000 A Pause    
10:42:08 5000 A Pause    
10:42:13 5000 A Pause    
10:42:18 5000 A Pause    
10:42:23 5000 A Pause    
10:42:28 5000 A Pause    
10:42:33 5000 A Pause    
10:42:38 5000 A Pause    
10:42:43 5000 A Pause    
10:42:48 5000 A Pause    
10:42:53 5000 A Pause    
10:42:58 5000 A Pause    
10:43:03 5000 A Pause    
10:43:08 5000 A Pause    
10:43:13 5000 A Pause    
10:43:18 5000 A Pause    
10:43:23 5000 A Pause    
10:43:28 5000 A Pause    
10:43:33 5000 A Pause    
10:43:38 5000 A Pause    
10:43:43 5000 A Pause    
10:43:48 5000 A Pause    
10:43:53 5000 A Pause    
10:43:58 5000 A Pause    
10:44:03 5000 A Pause    
10:44:08 5000 A Pause    
10:44:13 5000 A Pause    
10:44:18 5000 A Pause    
10:44:23 5000 A Pause    
10:44:28 5000 A Pause    
10:44:33 5000 A Pause    
10:44:38 5000 A Pause    
10:44:43 5000 A Pause    
10:44:48 5000 A Pause    
10:44:53 5000 A Pause    
10:44:58 5000 A Pause    
10:45:03 5000 A Pause    
10:45:08 5000 A Pause    
10:45:13 5000 A Pause    
10:45:18 5000 A Pause    
10:45:23 5000 A Pause    
10:45:28 5000 A Pause    
10:45:33 5000 A Pause    
10:45:38 5000 A Pause    
10:45:43 5000 A Pause    
10:45:48 5000 A Pause    
10:45:53 5000 A Pause    
10:45:58 5000 A Pause    
