11:16:42 5040 A     
11:16:47 5000 A     
11:16:52 5000 A Pause    
11:16:57 5000 A Pause    
11:17:02 5000 A Pause    
11:17:07 5000 A Pause    
11:17:12 5000 A Pause    
11:17:17 5000 A Pause    
11:17:22 5000 A Pause    
11:17:27 5000 A Pause    
11:17:32 5000 A Pause    
11:17:37 5000 A Pause    
11:17:42 5000 A Pause    
11:17:47 5000 A Pause    
11:17:52 5000 A Pause    
11:17:57 5000 A Pause    
11:18:02 5000 A Pause    
11:18:07 5000 A Pause    
11:18:12 5000 A Pause    
11:18:17 5000 A Pause    
11:18:22 5000 A Pause    
11:18:27 5000 A Pause    
11:18:32 5000 A Pause    
11:18:37 5000 A Pause    
11:18:42 5000 A Pause    
11:18:47 5000 A Pause    
11:18:52 5000 A Pause    
11:18:57 5000 A Pause    
11:19:02 5000 A Pause    
11:19:07 5000 A Pause    
11:19:12 5000 A Pause    
11:19:17 5000 A Pause    
11:19:22 5000 A Pause    
11:19:27 5000 A Pause    
11:19:32 5000 A Pause    
11:19:37 5000 A Pause    
11:19:42 5000 A Pause    
11:19:47 5000 A Pause    
11:19:52 5000 A Pause    
11:19:57 5000 A Pause    
11:20:02 5000 A Pause    
11:20:07 5000 A Pause    
11:20:12 5000 A Pause    
11:20:17 5000 A Pause    
11:20:22 5000 A Pause    
11:20:27 5000 A Pause    
11:20:32 5000 A Pause    
11:20:37 5000 A Pause    
11:20:42 5000 A Pause    
11:20:47 5000 A Pause    
11:20:52 5000 A Pause    
11:20:57 5000 A Pause    
11:21:02 5000 A Pause    
11:21:07 5000 A Pause    
11:21:12 5000 A Pause    
11:21:17 5000 A Pause    
11:21:22 5000 A Pause    
11:21:27 5000 A Pause    
11:21:32 5000 A Pause    
11:21:37 5000 A Pause    
11:21:42 5000 A Pause    
11:21:47 5000 A Pause    
11:21:52 5000 A Pause    
11:21:57 5000 A Pause    
11:22:02 5000 A Pause    
11:22:07 5000 A Pause    
11:22:12 5000 A Pause    
11:22:17 5000 A Pause    
11:22:22 5000 A Pause    
11:22:27 5000 A Pause    
11:22:32 5000 A Pause    
11:22:37 5000 A Pause    
11:22:42 5000 A Pause    
11:22:47 5000 A Pause    
11:22:52 5000 A Pause    
11:22:57 5000 A Pause    
11:23:02 5000 A Pause    
11:23:07 5000 A Pause    
11:23:12 5000 A Pause    
11:23:17 5000 A Pause    
11:23:22 5000 A Pause    
11:23:27 5000 A Pause    
11:23:32 5000 A Pause    
11:23:37 5000 A Pause    
11:23:42 5000 A Pause    
11:23:47 5000 A Pause    
11:23:52 5000 A Pause    
11:23:57 5000 A Pause    
11:24:02 5000 A Pause    
11:24:07 5000 A Pause    
11:24:12 5000 A Pause    
11:24:17 5000 A Pause    
11:24:22 5000 A Pause    
11:24:27 5000 A Pause    
11:24:32 5000 A Pause    
