09:56:33 5040 A     
09:56:38 5000 A     
09:56:43 5000 A Pause    
09:56:48 5000 A Pause    
09:56:53 5000 A Pause    
09:56:58 5000 A Pause    
09:57:03 5000 A Pause    
09:57:08 5000 A Pause    
09:57:13 5000 A Pause    
09:57:18 5000 A Pause    
09:57:23 5000 A Pause    
09:57:28 5000 A Pause    
09:57:33 5000 A Pause    
09:57:38 5000 A Pause    
09:57:43 5000 A Pause    
09:57:48 5000 A Pause    
09:57:53 5000 A Pause    
09:57:58 5000 A Pause    
09:58:03 5000 A Pause    
09:58:08 5000 A Pause    
09:58:13 5000 A Pause    
09:58:18 5000 A Pause    
09:58:23 5000 A Pause    
09:58:28 5000 A Pause    
09:58:33 5000 A Pause    
09:58:38 5000 A Pause    
09:58:43 5000 A Pause    
09:58:48 5000 A Pause    
09:58:53 5000 A Pause    
09:58:58 5000 A Pause    
09:59:03 5000 A Pause    
09:59:08 5000 A Pause    
09:59:13 5000 A Pause    
09:59:18 5000 A Pause    
09:59:23 5000 A Pause    
09:59:28 5000 A Pause    
09:59:33 5000 A Pause    
09:59:38 5000 A Pause    
09:59:43 5000 A Pause    
09:59:48 5000 A Pause    
09:59:53 5000 A Pause    
09:59:58 5000 A Pause    
10:00:03 5000 A Pause    
10:00:08 5000 A Pause    
10:00:13 5000 A Pause    
10:00:18 5000 A Pause    
10:00:23 5000 A Pause    
10:00:28 5000 A Pause    
10:00:33 5000 A Pause    
10:00:38 5000 A Pause    
10:00:43 5000 A Pause    
10:00:48 5000 A Pause    
10:00:53 5000 A Pause    
10:00:58 5000 A Pause    
10:01:03 5000 A Pause    
10:01:08 5000 A Pause    
10:01:13 5000 A Pause    
10:01:18 5000 A Pause    
10:01:23 5000 A Pause    
10:01:28 5000 A Pause    
10:01:33 5000 A Pause    
10:01:38 5000 A Pause    
10:01:43 5000 A Pause    
10:01:48 5000 A Pause    
10:01:53 5000 A Pause    
10:01:58 5000 A Pause    
10:02:03 5000 A Pause    
10:02:08 5000 A Pause    
10:02:13 5000 A Pause    
10:02:18 5000 A Pause    
10:02:23 5000 A Pause    
10:02:28 5000 A Pause    
10:02:33 5000 A Pause    
10:02:38 5000 A Pause    
10:02:43 5000 A Pause    
10:02:48 5000 A Pause    
10:02:53 5000 A Pause    
10:02:58 5000 A Pause    
10:03:03 5000 A Pause    
10:03:08 5000 A Pause    
10:03:13 5000 A Pause    
10:03:18 5000 A Pause    
10:03:23 5000 A Pause    
10:03:28 5000 A Pause    
10:03:33 5000 A Pause    
10:03:38 5000 A Pause    
10:03:43 5000 A Pause    
10:03:48 5000 A Pause    
10:03:53 5000 A Pause    
10:03:58 5000 A Pause    
10:04:03 5000 A Pause    
10:04:08 5000 A Pause    
10:04:13 5000 A Pause    
10:04:18 5000 A Pause    
10:04:23 5000 A Pause    
10:04:28 5000 A Pause    
10:04:33 5000 A Pause    
10:04:38 5000 A Pause    
10:04:43 5000 A Pause    
10:04:48 5000 A Pause    
10:04:53 5000 A Pause    
10:04:58 5000 A Pause    
10:05:03 5000 A Pause    
10:05:08 5000 A Pause    
10:05:13 5000 A Pause    
10:05:18 5000 A Pause    
10:05:23 5000 A Pause    
10:05:28 5000 A Pause    
10:05:33 5000 A Pause    
10:05:38 5000 A Pause    
10:05:43 5000 A Pause    
10:05:48 5000 A Pause    
10:05:53 5000 A Pause    
10:05:58 5000 A Pause    
10:06:03 5000 A Pause    
10:06:08 5000 A Pause    
10:06:13 5000 A Pause    
10:06:18 5000 A Pause    
10:06:23 5000 A Pause    
10:06:28 5000 A Pause    
10:06:33 5000 A Pause    
10:06:38 5000 A Pause    
10:06:43 5000 A Pause    
10:06:48 5000 A Pause    
10:06:53 5000 A Pause    
10:06:58 5000 A Pause    
10:07:03 5000 A Pause    
10:07:08 5000 A Pause    
10:07:13 5000 A Pause    
10:07:18 5000 A Pause    
10:07:23 5000 A Pause    
10:07:28 5000 A Pause    
10:07:33 5000 A Pause    
10:07:38 5000 A Pause    
10:07:43 5000 A Pause    
10:07:48 5000 A Pause    
10:07:53 5000 A Pause    
10:07:58 5000 A Pause    
10:08:03 5000 A Pause    
10:08:08 5000 A Pause    
10:08:13 5000 A Pause    
10:08:18 5000 A Pause    
10:08:23 5000 A Pause    
10:08:28 5000 A Pause    
