12:30:05 5040 A     
12:30:10 5000 A     
12:30:15 5000 A Pause    
12:30:20 5000 A Pause    
12:30:25 5000 A Pause    
12:30:30 5000 A Pause    
12:30:35 5000 A Pause    
12:30:40 5000 A Pause    
12:30:45 5000 A Pause    
12:30:50 5000 A Pause    
12:30:55 5000 A Pause    
12:31:00 5000 A Pause    
12:31:05 5000 A Pause    
12:31:10 5000 A Pause    
12:31:15 5000 A Pause    
12:31:20 5000 A Pause    
12:31:25 5000 A Pause    
12:31:30 5000 A Pause    
12:31:35 5000 A Pause    
12:31:40 5000 A Pause    
12:31:45 5000 A Pause    
12:31:50 5000 A Pause    
12:31:55 5000 A Pause    
12:32:00 5000 A Pause    
12:32:05 5000 A Pause    
12:32:10 5000 A Pause    
12:32:15 5000 A Pause    
12:32:20 5000 A Pause    
12:32:25 5000 A Pause    
12:32:30 5000 A Pause    
12:32:35 5000 A Pause    
12:32:40 5000 A Pause    
12:32:45 5000 A Pause    
12:32:50 5000 A Pause    
12:32:55 5000 A Pause    
12:33:00 5000 A Pause    
12:33:05 5000 A Pause    
12:33:10 5000 A Pause    
12:33:15 5000 A Pause    
12:33:20 5000 A Pause    
12:33:25 5000 A Pause    
12:33:30 5000 A Pause    
12:33:35 5000 A Pause    
12:33:40 5000 A Pause    
12:33:45 5000 A Pause    
12:33:50 5000 A Pause    
12:33:55 5000 A Pause    
12:34:00 5000 A Pause    
12:34:05 5000 A Pause    
12:34:10 5000 A Pause    
12:34:15 5000 A Pause    
12:34:20 5000 A Pause    
12:34:25 5000 A Pause    
12:34:30 5000 A Pause    
12:34:35 5000 A Pause    
12:34:40 5000 A Pause    
12:34:45 5000 A Pause    
12:34:50 5000 A Pause    
12:34:55 5000 A Pause    
12:35:00 5000 A Pause    
12:35:05 5000 A Pause    
12:35:10 5000 A Pause    
12:35:15 5000 A Pause    
12:35:20 5000 A Pause    
12:35:25 5000 A Pause    
12:35:30 5000 A Pause    
12:35:35 5000 A Pause    
12:35:40 5000 A Pause    
12:35:45 5000 A Pause    
12:35:50 5000 A Pause    
12:35:55 5000 A Pause    
12:36:00 5000 A Pause    
12:36:05 5000 A Pause    
12:36:10 5000 A Pause    
