15:40:05 5040 A     
15:40:10 5000 A     
15:40:15 5000 A Pause    
15:40:20 5000 A Pause    
15:40:25 5000 A Pause    
15:40:30 5000 A Pause    
15:40:35 5000 A Pause    
15:40:40 5000 A Pause    
15:40:45 5000 A Pause    
15:40:50 5000 A Pause    
15:40:55 5000 A Pause    
15:41:00 5000 A Pause    
15:41:05 5000 A Pause    
15:41:10 5000 A Pause    
15:41:15 5000 A Pause    
15:41:20 5000 A Pause    
15:41:25 5000 A Pause    
15:41:30 5000 A Pause    
15:41:35 5000 A Pause    
15:41:40 5000 A Pause    
15:41:45 5000 A Pause    
15:41:50 5000 A Pause    
15:41:55 5000 A Pause    
15:42:00 5000 A Pause    
15:42:05 5000 A Pause    
15:42:10 5000 A Pause    
15:42:15 5000 A Pause    
15:42:20 5000 A Pause    
15:42:25 5000 A Pause    
15:42:30 5000 A Pause    
15:42:35 5000 A Pause    
15:42:40 5000 A Pause    
15:42:45 5000 A Pause    
15:42:50 5000 A Pause    
15:42:55 5000 A Pause    
15:43:00 5000 A Pause    
15:43:05 5000 A Pause    
15:43:10 5000 A Pause    
15:43:15 5000 A Pause    
15:43:20 5000 A Pause    
15:43:25 5000 A Pause    
15:43:30 5000 A Pause    
15:43:35 5000 A Pause    
15:43:40 5000 A Pause    
15:43:45 5000 A Pause    
15:43:50 5000 A Pause    
15:43:55 5000 A Pause    
15:44:00 5000 A Pause    
15:44:05 5000 A Pause    
15:44:10 5000 A Pause    
15:44:15 5000 A Pause    
15:44:20 5000 A Pause    
15:44:25 5000 A Pause    
15:44:30 5000 A Pause    
15:44:35 5000 A Pause    
15:44:40 5000 A Pause    
15:44:45 5000 A Pause    
15:44:50 5000 A Pause    
15:44:55 5000 A Pause    
15:45:00 5000 A Pause    
15:45:05 5000 A Pause    
15:45:10 5000 A Pause    
15:45:15 5000 A Pause    
15:45:20 5000 A Pause    
15:45:25 5000 A Pause    
15:45:30 5000 A Pause    
15:45:35 5000 A Pause    
15:45:40 5000 A Pause    
15:45:45 5000 A Pause    
15:45:50 5000 A Pause    
15:45:55 5000 A Pause    
15:46:00 5000 A Pause    
15:46:05 5000 A Pause    
15:46:10 5000 A Pause    
15:46:15 5000 A Pause    
15:46:20 5000 A Pause    
15:46:25 5000 A Pause    
15:46:30 5000 A Pause    
15:46:35 5000 A Pause    
15:46:40 5000 A Pause    
15:46:45 5000 A Pause    
15:46:50 5000 A Pause    
15:46:55 5000 A Pause    
15:47:00 5000 A Pause    
15:47:05 5000 A Pause    
15:47:10 5000 A Pause    
15:47:15 5000 A Pause    
15:47:20 5000 A Pause    
15:47:25 5000 A Pause    
15:47:30 5000 A Pause    
15:47:35 5000 A Pause    
15:47:40 5000 A Pause    
15:47:45 5000 A Pause    
15:47:50 5000 A Pause    
15:47:55 5000 A Pause    
15:48:00 5000 A Pause    
15:48:05 5000 A Pause    
15:48:10 5000 A Pause    
15:48:15 5000 A Pause    
15:48:20 5000 A Pause    
15:48:25 5000 A Pause    
15:48:30 5000 A Pause    
15:48:35 5000 A Pause    
15:48:40 5000 A Pause    
15:48:45 5000 A Pause    
15:48:50 5000 A Pause    
15:48:55 5000 A Pause    
15:49:00 5000 A Pause    
15:49:05 5000 A Pause    
15:49:10 5000 A Pause    
15:49:15 5000 A Pause    
15:49:20 5000 A Pause    
15:49:25 5000 A Pause    
15:49:30 5000 A Pause    
15:49:35 5000 A Pause    
15:49:40 5000 A Pause    
15:49:45 5000 A Pause    
15:49:50 5000 A Pause    
15:49:55 5000 A Pause    
15:50:00 5000 A Pause    
15:50:05 5000 A Pause    
15:50:10 5000 A Pause    
15:50:15 5000 A Pause    
15:50:20 5000 A Pause    
15:50:25 5000 A Pause    
15:50:30 5000 A Pause    
15:50:35 5000 A Pause    
15:50:40 5000 A Pause    
15:50:45 5000 A Pause    
15:50:50 5000 A Pause    
15:50:55 5000 A Pause    
15:51:00 5000 A Pause    
15:51:05 5000 A Pause    
15:51:10 5000 A Pause    
15:51:15 5000 A Pause    
15:51:20 5000 A Pause    
15:51:25 5000 A Pause    
15:51:30 5000 A Pause    
15:51:35 5000 A Pause    
15:51:40 5000 A Pause    
15:51:45 5000 A Pause    
15:51:50 5000 A Pause    
15:51:55 5000 A Pause    
15:52:00 5000 A Pause    
15:52:05 5000 A Pause    
15:52:10 5000 A Pause    
15:52:15 5000 A Pause    
15:52:20 5000 A Pause    
15:52:25 5000 A Pause    
15:52:30 5000 A Pause    
15:52:35 5000 A Pause    
15:52:40 5000 A Pause    
15:52:45 5000 A Pause    
15:52:50 5000 A Pause    
15:52:55 5000 A Pause    
15:53:00 5000 A Pause    
15:53:04 4170 A Pause    
15:53:04 675 A PR    
15:53:05 665 A PR    
15:53:06 670 A PR    
15:53:06 680 A PR    
15:53:07 675 A PR    
15:53:08 670 A PR    
15:53:08 670 A PR    
15:53:09 665 A PR    
15:53:10 675 A     
15:53:10 675 A     
15:53:11 670 A     
15:53:12 670 A     
15:53:12 665 A     
15:53:13 665 A     
15:53:14 670 A     
15:53:14 515 A     
15:53:15 790 A     
15:53:16 500 A     
15:53:16 860 A     
15:53:17 670 A     
15:53:18 675 A     
15:53:18 670 A     
15:53:19 670 A     
15:53:20 670 A     
15:53:20 665 A     
15:53:21 675 A     
15:53:22 670 A     
15:53:22 665 A     
15:53:23 475 A PR    
15:53:24 1510 A CP    
15:53:25 665 A     
15:53:26 665 A     
15:53:26 660 A     
15:53:27 660 A     
15:53:28 660 A     
15:53:28 665 A     
15:53:29 665 A     
15:53:30 665 A     
15:53:30 665 A     
