14:23:38 5025 A     
14:23:43 5000 A     
14:23:48 5000 A Pause    
14:23:53 5000 A Pause    
14:23:58 5000 A Pause    
14:24:03 5000 A Pause    
14:24:08 5000 A Pause    
14:24:13 5000 A Pause    
14:24:18 5000 A Pause    
14:24:23 5000 A Pause    
14:24:28 5000 A Pause    
14:24:33 5000 A Pause    
14:24:38 5000 A Pause    
14:24:43 5000 A Pause    
14:24:48 5000 A Pause    
14:24:53 5000 A Pause    
14:24:58 5000 A Pause    
14:25:03 5000 A Pause    
14:25:08 5000 A Pause    
14:25:13 5000 A Pause    
14:25:18 5000 A Pause    
14:25:23 5000 A Pause    
14:25:28 5000 A Pause    
14:25:33 5000 A Pause    
14:25:38 5000 A Pause    
14:25:43 5000 A Pause    
14:25:48 5000 A Pause    
14:25:53 5000 A Pause    
14:25:58 5000 A Pause    
14:26:03 5000 A Pause    
14:26:08 5000 A Pause    
14:26:13 5000 A Pause    
14:26:18 5000 A Pause    
14:26:23 5000 A Pause    
14:26:28 5000 A Pause    
14:26:33 5000 A Pause    
14:26:38 5000 A Pause    
14:26:43 5000 A Pause    
14:26:48 5000 A Pause    
14:26:53 5000 A Pause    
14:26:58 5000 A Pause    
14:27:03 5000 A Pause    
14:27:08 5000 A Pause    
14:27:13 5000 A Pause    
14:27:18 5000 A Pause    
14:27:23 5000 A Pause    
14:27:28 5000 A Pause    
14:27:33 5000 A Pause    
14:27:38 5000 A Pause    
14:27:43 5000 A Pause    
14:27:48 5000 A Pause    
14:27:53 5000 A Pause    
14:27:58 5000 A Pause    
14:28:03 5000 A Pause    
14:28:08 5000 A Pause    
14:28:13 5000 A Pause    
14:28:18 5000 A Pause    
14:28:23 5000 A Pause    
14:28:28 5000 A Pause    
14:28:33 5000 A Pause    
14:28:38 5000 A Pause    
14:28:43 5000 A Pause    
14:28:48 5000 A Pause    
14:28:53 5000 A Pause    
14:28:58 5000 A Pause    
14:29:03 5000 A Pause    
14:29:08 5000 A Pause    
14:29:13 5000 A Pause    
14:29:18 5000 A Pause    
14:29:23 5000 A Pause    
14:29:28 5000 A Pause    
14:29:33 5000 A Pause    
14:29:38 5000 A Pause    
14:29:43 5000 A Pause    
14:29:48 5000 A Pause    
14:29:53 5000 A Pause    
14:29:58 5000 A Pause    
14:30:03 5000 A Pause    
14:30:08 5000 A Pause    
14:30:13 5000 A Pause    
14:30:18 5000 A Pause    
14:30:23 5000 A Pause    
14:30:28 5000 A Pause    
14:30:33 5000 A Pause    
14:30:38 5000 A Pause    
14:30:43 5000 A Pause    
14:30:48 5000 A Pause    
14:30:53 5000 A Pause    
14:30:58 5000 A Pause    
14:31:03 5000 A Pause    
14:31:08 5000 A Pause    
14:31:13 5000 A Pause    
14:31:18 5000 A Pause    
14:31:23 5000 A Pause    
14:31:28 5000 A Pause    
14:31:33 5000 A Pause    
14:31:38 5000 A Pause    
