09:58:58 5040 A     
09:59:03 5000 A     
09:59:08 5000 A Pause    
09:59:13 5000 A Pause    
09:59:18 5000 A Pause    
09:59:23 5000 A Pause    
09:59:28 5000 A Pause    
09:59:33 5000 A Pause    
09:59:38 5000 A Pause    
09:59:43 5000 A Pause    
09:59:48 5000 A Pause    
09:59:53 5000 A Pause    
09:59:58 5000 A Pause    
10:00:03 5000 A Pause    
10:00:08 5000 A Pause    
10:00:13 5000 A Pause    
10:00:18 5000 A Pause    
10:00:23 5000 A Pause    
10:00:28 5000 A Pause    
10:00:33 5000 A Pause    
10:00:38 5000 A Pause    
10:00:43 5000 A Pause    
10:00:48 5000 A Pause    
10:00:53 5000 A Pause    
10:00:58 5000 A Pause    
10:01:03 5000 A Pause    
10:01:08 5000 A Pause    
10:01:13 5000 A Pause    
10:01:18 5000 A Pause    
10:01:23 5000 A Pause    
10:01:28 5000 A Pause    
10:01:33 5000 A Pause    
10:01:38 5000 A Pause    
10:01:43 5000 A Pause    
10:01:48 5000 A Pause    
10:01:53 5000 A Pause    
10:01:58 5000 A Pause    
10:02:03 5000 A Pause    
10:02:08 5000 A Pause    
10:02:13 5000 A Pause    
10:02:18 5000 A Pause    
10:02:23 5000 A Pause    
10:02:28 5000 A Pause    
10:02:33 5000 A Pause    
10:02:38 5000 A Pause    
10:02:43 5000 A Pause    
10:02:48 5000 A Pause    
10:02:53 5000 A Pause    
10:02:58 5000 A Pause    
10:03:03 5000 A Pause    
10:03:08 5000 A Pause    
10:03:13 5000 A Pause    
10:03:18 5000 A Pause    
10:03:23 5000 A Pause    
10:03:28 5000 A Pause    
10:03:33 5000 A Pause    
10:03:38 5000 A Pause    
10:03:43 5000 A Pause    
10:03:48 5000 A Pause    
10:03:53 5000 A Pause    
10:03:58 5000 A Pause    
10:04:03 5000 A Pause    
10:04:08 5000 A Pause    
10:04:13 5000 A Pause    
10:04:18 5000 A Pause    
10:04:23 5000 A Pause    
10:04:28 5000 A Pause    
10:04:33 5000 A Pause    
10:04:38 5000 A Pause    
10:04:43 5000 A Pause    
10:04:48 5000 A Pause    
10:04:53 5000 A Pause    
10:04:58 5000 A Pause    
10:05:03 5000 A Pause    
10:05:08 5000 A Pause    
10:05:13 5000 A Pause    
10:05:18 5000 A Pause    
10:05:23 5000 A Pause    
10:05:28 5000 A Pause    
10:05:33 5000 A Pause    
10:05:38 5000 A Pause    
10:05:43 5000 A Pause    
10:05:48 5000 A Pause    
10:05:53 5000 A Pause    
10:05:58 5000 A Pause    
10:06:03 5000 A Pause    
10:06:08 5000 A Pause    
10:06:13 5000 A Pause    
10:06:18 5000 A Pause    
10:06:23 5000 A Pause    
10:06:28 5000 A Pause    
10:06:33 5000 A Pause    
10:06:38 5000 A Pause    
10:06:43 5000 A Pause    
10:06:48 5000 A Pause    
10:06:53 5000 A Pause    
10:06:58 5000 A Pause    
10:07:03 5000 A Pause    
10:07:08 5000 A Pause    
10:07:13 5000 A Pause    
10:07:18 5000 A Pause    
10:07:23 5000 A Pause    
10:07:28 5000 A Pause    
10:07:33 5000 A Pause    
10:07:38 5000 A Pause    
10:07:43 5000 A Pause    
10:07:48 5000 A Pause    
10:07:53 5000 A Pause    
10:07:58 5000 A Pause    
10:08:03 5000 A Pause    
10:08:08 5000 A Pause    
10:08:13 5000 A Pause    
10:08:18 5000 A Pause    
10:08:23 5000 A Pause    
10:08:28 5000 A Pause    
10:08:33 5000 A Pause    
10:08:38 5000 A Pause    
10:08:43 5000 A Pause    
10:08:48 5000 A Pause    
10:08:53 5000 A Pause    
10:08:58 5000 A Pause    
10:09:03 5000 A Pause    
10:09:08 5000 A Pause    
10:09:13 5000 A Pause    
10:09:18 5000 A Pause    
10:09:23 5000 A Pause    
10:09:28 5000 A Pause    
10:09:33 5000 A Pause    
10:09:38 5000 A Pause    
10:09:43 5000 A Pause    
10:09:48 5000 A Pause    
10:09:53 5000 A Pause    
10:09:58 5000 A Pause    
10:10:03 5000 A Pause    
10:10:08 5000 A Pause    
10:10:13 5000 A Pause    
10:10:18 5000 A Pause    
10:10:23 5000 A Pause    
10:10:28 5000 A Pause    
10:10:33 5000 A Pause    
10:10:38 5000 A Pause    
10:10:43 5000 A Pause    
10:10:48 5000 A Pause    
10:10:53 5000 A Pause    
10:10:58 5000 A Pause    
10:11:03 5000 A Pause    
10:11:08 5000 A Pause    
10:11:13 5000 A Pause    
10:11:18 5000 A Pause    
10:11:23 5000 A Pause    
10:11:28 5000 A Pause    
10:11:33 5000 A Pause    
10:11:38 5000 A Pause    
10:11:43 5000 A Pause    
10:11:48 5000 A Pause    
10:11:53 5000 A Pause    
10:11:58 5000 A Pause    
10:12:03 5000 A Pause    
10:12:08 5000 A Pause    
10:12:13 5000 A Pause    
10:12:18 5000 A Pause    
10:12:23 5000 A Pause    
10:12:28 5000 A Pause    
10:12:33 5000 A Pause    
10:12:38 5000 A Pause    
10:12:43 5000 A Pause    
10:12:48 5000 A Pause    
10:12:53 5000 A Pause    
10:12:58 5000 A Pause    
10:13:03 5000 A Pause    
10:13:08 5000 A Pause    
10:13:13 5000 A Pause    
10:13:18 5000 A Pause    
10:13:23 5000 A Pause    
10:13:28 5000 A Pause    
10:13:33 5000 A Pause    
10:13:38 5000 A Pause    
10:13:43 5000 A Pause    
10:13:48 5000 A Pause    
10:13:53 5000 A Pause    
10:13:58 5000 A Pause    
10:14:03 5000 A Pause    
10:14:08 5000 A Pause    
10:14:13 5000 A Pause    
10:14:18 5000 A Pause    
10:14:23 5000 A Pause    
10:14:28 5000 A Pause    
10:14:33 5000 A Pause    
10:14:38 5000 A Pause    
10:14:43 5000 A Pause    
10:14:48 5000 A Pause    
10:14:53 5000 A Pause    
10:14:58 5000 A Pause    
10:15:03 5000 A Pause    
10:15:08 5000 A Pause    
10:15:13 5000 A Pause    
10:15:18 5000 A Pause    
10:15:23 5000 A Pause    
10:15:28 5000 A Pause    
10:15:33 5000 A Pause    
10:15:38 5000 A Pause    
10:15:43 5000 A Pause    
10:15:48 5000 A Pause    
10:15:53 5000 A Pause    
10:15:58 5000 A Pause    
10:16:03 5000 A Pause    
10:16:08 5000 A Pause    
10:16:13 5000 A Pause    
10:16:18 5000 A Pause    
10:16:23 5000 A Pause    
10:16:28 5000 A Pause    
10:16:33 5000 A Pause    
10:16:38 5000 A Pause    
10:16:43 5000 A Pause    
10:16:48 5000 A Pause    
10:16:53 5000 A Pause    
10:16:58 5000 A Pause    
10:17:03 5000 A Pause    
10:17:08 5000 A Pause    
10:17:13 5000 A Pause    
10:17:18 5000 A Pause    
10:17:23 5000 A Pause    
10:17:28 5000 A Pause    
10:17:33 5000 A Pause    
10:17:38 5000 A Pause    
10:17:43 5000 A Pause    
10:17:48 5000 A Pause    
10:17:53 5000 A Pause    
10:17:58 5000 A Pause    
10:18:03 5000 A Pause    
10:18:08 5000 A Pause    
10:18:13 5000 A Pause    
10:18:18 5000 A Pause    
10:18:23 5000 A Pause    
10:18:28 5000 A Pause    
10:18:33 5000 A Pause    
10:18:38 5000 A Pause    
10:18:43 5000 A Pause    
10:18:48 5000 A Pause    
10:18:53 5000 A Pause    
10:18:58 5000 A Pause    
10:19:03 5000 A Pause    
10:19:08 5000 A Pause    
10:19:13 5000 A Pause    
10:19:18 5000 A Pause    
10:19:23 5000 A Pause    
10:19:28 5000 A Pause    
10:19:33 5000 A Pause    
10:19:38 5000 A Pause    
10:19:43 5000 A Pause    
10:19:48 5000 A Pause    
10:19:53 5000 A Pause    
10:19:58 5000 A Pause    
10:20:03 5000 A Pause    
10:20:08 5000 A Pause    
10:20:13 5000 A Pause    
10:20:18 5000 A Pause    
10:20:23 5000 A Pause    
10:20:28 5000 A Pause    
10:20:33 5000 A Pause    
10:20:38 5000 A Pause    
10:20:43 5000 A Pause    
10:20:48 5000 A Pause    
10:20:53 5000 A Pause    
10:20:58 5000 A Pause    
10:21:03 5000 A Pause    
10:21:08 5000 A Pause    
10:21:13 5000 A Pause    
10:21:18 5000 A Pause    
10:21:23 5000 A Pause    
10:21:28 5000 A Pause    
10:21:33 5000 A Pause    
10:21:38 5000 A Pause    
