05:53:27 5040 A     
05:53:32 5000 A     
05:53:37 5000 A Pause    
05:53:42 5000 A Pause    
05:53:47 5000 A Pause    
05:53:52 5000 A Pause    
05:53:57 5000 A Pause    
05:54:02 5000 A Pause    
05:54:07 5000 A Pause    
05:54:12 5000 A Pause    
05:54:17 5000 A Pause    
05:54:22 5000 A Pause    
05:54:27 5000 A Pause    
05:54:32 5000 A Pause    
05:54:37 5000 A Pause    
05:54:42 5000 A Pause    
05:54:47 5000 A Pause    
05:54:52 5000 A Pause    
05:54:57 5000 A Pause    
05:55:02 5000 A Pause    
05:55:07 5000 A Pause    
05:55:12 5000 A Pause    
05:55:17 5000 A Pause    
05:55:22 5000 A Pause    
05:55:27 5000 A Pause    
05:55:32 5000 A Pause    
05:55:37 5000 A Pause    
05:55:42 5000 A Pause    
05:55:47 5000 A Pause    
05:55:52 5000 A Pause    
05:55:57 5000 A Pause    
05:56:02 5000 A Pause    
05:56:07 5000 A Pause    
05:56:12 5000 A Pause    
05:56:17 5000 A Pause    
05:56:22 5000 A Pause    
05:56:27 5000 A Pause    
05:56:32 5000 A Pause    
05:56:37 5000 A Pause    
05:56:42 5000 A Pause    
05:56:47 5000 A Pause    
05:56:52 5000 A Pause    
05:56:57 5000 A Pause    
05:57:02 5000 A Pause    
05:57:07 5000 A Pause    
05:57:12 5000 A Pause    
05:57:17 5000 A Pause    
05:57:22 5000 A Pause    
05:57:27 5000 A Pause    
05:57:32 5000 A Pause    
05:57:37 5000 A Pause    
05:57:42 5000 A Pause    
05:57:47 5000 A Pause    
05:57:52 5000 A Pause    
05:57:57 5000 A Pause    
05:58:02 5000 A Pause    
05:58:07 5000 A Pause    
05:58:12 5000 A Pause    
05:58:17 5000 A Pause    
05:58:22 5000 A Pause    
05:58:27 5000 A Pause    
05:58:32 5000 A Pause    
05:58:37 5000 A Pause    
05:58:42 5000 A Pause    
05:58:47 5000 A Pause    
05:58:52 5000 A Pause    
05:58:57 5000 A Pause    
05:59:02 5000 A Pause    
05:59:07 5000 A Pause    
05:59:12 5000 A Pause    
05:59:17 5000 A Pause    
05:59:22 5000 A Pause    
05:59:27 5000 A Pause    
05:59:32 5000 A Pause    
05:59:37 5000 A Pause    
05:59:42 5000 A Pause    
05:59:47 5000 A Pause    
05:59:52 5000 A Pause    
05:59:57 5000 A Pause    
06:00:02 5000 A Pause    
06:00:07 5000 A Pause    
06:00:12 5000 A Pause    
06:00:17 5000 A Pause    
06:00:22 5000 A Pause    
