15:31:12 5040 A     
15:31:17 5000 A     
15:31:22 5000 A Pause    
15:31:27 5000 A Pause    
15:31:32 5000 A Pause    
15:31:37 5000 A Pause    
15:31:42 5000 A Pause    
15:31:47 5000 A Pause    
15:31:52 5000 A Pause    
15:31:57 5000 A Pause    
15:32:02 5000 A Pause    
15:32:07 5000 A Pause    
15:32:12 5000 A Pause    
15:32:17 5000 A Pause    
15:32:22 5000 A Pause    
15:32:27 5000 A Pause    
15:32:32 5000 A Pause    
15:32:37 5000 A Pause    
15:32:42 5000 A Pause    
15:32:47 5000 A Pause    
15:32:52 5000 A Pause    
15:32:57 5000 A Pause    
15:33:02 5000 A Pause    
15:33:07 5000 A Pause    
15:33:12 5000 A Pause    
15:33:17 5000 A Pause    
15:33:22 5000 A Pause    
15:33:27 5000 A Pause    
15:33:32 5000 A Pause    
15:33:37 5000 A Pause    
15:33:42 5000 A Pause    
15:33:47 5000 A Pause    
15:33:52 5000 A Pause    
15:33:57 5000 A Pause    
15:34:02 5000 A Pause    
15:34:07 5000 A Pause    
15:34:12 5000 A Pause    
15:34:17 5000 A Pause    
15:34:22 5000 A Pause    
15:34:27 5000 A Pause    
15:34:32 5000 A Pause    
15:34:37 5000 A Pause    
15:34:42 5000 A Pause    
15:34:47 5000 A Pause    
15:34:52 5000 A Pause    
15:34:57 5000 A Pause    
15:35:02 5000 A Pause    
15:35:07 5000 A Pause    
15:35:12 5000 A Pause    
15:35:17 5000 A Pause    
15:35:22 5000 A Pause    
15:35:27 5000 A Pause    
15:35:32 5000 A Pause    
15:35:37 5000 A Pause    
15:35:42 5000 A Pause    
15:35:47 5000 A Pause    
15:35:52 5000 A Pause    
15:35:57 5000 A Pause    
15:36:02 5000 A Pause    
15:36:07 5000 A Pause    
15:36:12 5000 A Pause    
15:36:17 5000 A Pause    
15:36:22 5000 A Pause    
15:36:27 5000 A Pause    
15:36:32 5000 A Pause    
15:36:37 5000 A Pause    
15:36:42 5000 A Pause    
15:36:47 5000 A Pause    
15:36:52 5000 A Pause    
15:36:57 5000 A Pause    
15:37:02 5000 A Pause    
15:37:07 5000 A Pause    
15:37:12 5000 A Pause    
15:37:17 5000 A Pause    
15:37:22 5000 A Pause    
15:37:27 5000 A Pause    
15:37:32 5000 A Pause    
15:37:37 5000 A Pause    
15:37:42 5000 A Pause    
15:37:47 5000 A Pause    
15:37:52 5000 A Pause    
15:37:57 5000 A Pause    
15:38:02 5000 A Pause    
15:38:07 5000 A Pause    
15:38:12 5000 A Pause    
15:38:17 5000 A Pause    
15:38:22 5000 A Pause    
15:38:27 5000 A Pause    
15:38:32 5000 A Pause    
15:38:37 5000 A Pause    
15:38:42 5000 A Pause    
15:38:47 5000 A Pause    
15:38:52 5000 A Pause    
15:38:57 5000 A Pause    
15:39:02 5000 A Pause    
15:39:07 5000 A Pause    
15:39:12 5000 A Pause    
15:39:17 5000 A Pause    
15:39:22 5000 A Pause    
15:39:27 5000 A Pause    
15:39:32 5000 A Pause    
15:39:37 5000 A Pause    
15:39:42 5000 A Pause    
15:39:47 5000 A Pause    
15:39:52 5000 A Pause    
15:39:57 5000 A Pause    
15:40:02 5000 A Pause    
15:40:07 5000 A Pause    
15:40:12 5000 A Pause    
15:40:17 5000 A Pause    
15:40:22 5000 A Pause    
15:40:27 5000 A Pause    
15:40:32 5000 A Pause    
15:40:37 5000 A Pause    
15:40:42 5000 A Pause    
15:40:47 5000 A Pause    
15:40:52 5000 A Pause    
15:40:57 5000 A Pause    
15:41:02 5000 A Pause    
15:41:07 5000 A Pause    
15:41:12 5000 A Pause    
15:41:17 5000 A Pause    
15:41:22 5000 A Pause    
15:41:27 5000 A Pause    
15:41:32 5000 A Pause    
15:41:37 5000 A Pause    
15:41:42 5000 A Pause    
15:41:47 5000 A Pause    
15:41:52 5000 A Pause    
15:41:57 5000 A Pause    
15:42:02 5000 A Pause    
15:42:07 5000 A Pause    
15:42:12 5000 A Pause    
15:42:17 5000 A Pause    
15:42:22 5000 A Pause    
15:42:27 5000 A Pause    
15:42:32 5000 A Pause    
15:42:37 5000 A Pause    
15:42:42 5000 A Pause    
15:42:47 5000 A Pause    
15:42:52 5000 A Pause    
15:42:57 5000 A Pause    
15:43:02 5000 A Pause    
15:43:07 5000 A Pause    
15:43:12 5000 A Pause    
15:43:17 5000 A Pause    
15:43:22 5000 A Pause    
15:43:27 5000 A Pause    
15:43:32 5000 A Pause    
15:43:37 5000 A Pause    
15:43:42 5000 A Pause    
15:43:47 5000 A Pause    
15:43:52 5000 A Pause    
15:43:57 5000 A Pause    
15:44:02 5000 A Pause    
15:44:07 5000 A Pause    
15:44:12 5000 A Pause    
15:44:17 5000 A Pause    
15:44:22 5000 A Pause    
15:44:27 5000 A Pause    
15:44:32 5000 A Pause    
15:44:37 5000 A Pause    
15:44:42 5000 A Pause    
15:44:47 5000 A Pause    
15:44:52 5000 A Pause    
15:44:57 5000 A Pause    
15:45:02 5000 A Pause    
15:45:07 5000 A Pause    
15:45:12 5000 A Pause    
15:45:17 5000 A Pause    
15:45:22 5000 A Pause    
15:45:27 5000 A Pause    
15:45:32 5000 A Pause    
15:45:37 5000 A Pause    
15:45:42 5000 A Pause    
