20:15:39 5040 A     
20:15:44 5000 A     
20:15:49 5000 A Pause    
20:15:54 5000 A Pause    
20:15:59 5000 A Pause    
20:16:04 5000 A Pause    
20:16:09 5000 A Pause    
20:16:14 5000 A Pause    
20:16:19 5000 A Pause    
20:16:24 5000 A Pause    
20:16:29 5000 A Pause    
20:16:34 5000 A Pause    
20:16:39 5000 A Pause    
20:16:44 5000 A Pause    
20:16:49 5000 A Pause    
20:16:54 5000 A Pause    
20:16:59 5000 A Pause    
20:17:04 5000 A Pause    
20:17:09 5000 A Pause    
20:17:14 5000 A Pause    
20:17:19 5000 A Pause    
20:17:24 5000 A Pause    
20:17:29 5000 A Pause    
20:17:34 5000 A Pause    
20:17:39 5000 A Pause    
20:17:44 5000 A Pause    
20:17:49 5000 A Pause    
20:17:54 5000 A Pause    
20:17:59 5000 A Pause    
20:18:04 5000 A Pause    
20:18:09 5000 A Pause    
20:18:14 5000 A Pause    
20:18:19 5000 A Pause    
20:18:24 5000 A Pause    
20:18:29 5000 A Pause    
20:18:34 5000 A Pause    
20:18:39 5000 A Pause    
20:18:44 5000 A Pause    
20:18:49 5000 A Pause    
20:18:54 5000 A Pause    
20:18:59 5000 A Pause    
20:19:04 5000 A Pause    
20:19:09 5000 A Pause    
20:19:14 5000 A Pause    
20:19:19 5000 A Pause    
20:19:24 5000 A Pause    
20:19:29 5000 A Pause    
20:19:34 5000 A Pause    
20:19:39 5000 A Pause    
20:19:44 5000 A Pause    
20:19:49 5000 A Pause    
20:19:54 5000 A Pause    
20:19:59 5000 A Pause    
20:20:04 5000 A Pause    
20:20:09 5000 A Pause    
20:20:14 5000 A Pause    
20:20:19 5000 A Pause    
20:20:24 5000 A Pause    
20:20:29 5000 A Pause    
20:20:34 5000 A Pause    
20:20:39 5000 A Pause    
20:20:44 5000 A Pause    
20:20:49 5000 A Pause    
20:20:54 5000 A Pause    
20:20:59 5000 A Pause    
20:21:04 5000 A Pause    
20:21:09 5000 A Pause    
20:21:14 5000 A Pause    
20:21:19 5000 A Pause    
20:21:24 5000 A Pause    
20:21:29 5000 A Pause    
20:21:34 5000 A Pause    
20:21:39 5000 A Pause    
20:21:44 5000 A Pause    
20:21:49 5000 A Pause    
20:21:54 5000 A Pause    
20:21:59 5000 A Pause    
20:22:04 5000 A Pause    
20:22:09 5000 A Pause    
20:22:14 5000 A Pause    
20:22:19 5000 A Pause    
20:22:24 5000 A Pause    
20:22:29 5000 A Pause    
20:22:34 5000 A Pause    
20:22:39 5000 A Pause    
20:22:44 5000 A Pause    
20:22:49 5000 A Pause    
20:22:54 5000 A Pause    
20:22:59 5000 A Pause    
20:23:04 5000 A Pause    
20:23:09 5000 A Pause    
20:23:14 5000 A Pause    
20:23:19 5000 A Pause    
20:23:24 5000 A Pause    
20:23:29 5000 A Pause    
20:23:34 5000 A Pause    
20:23:39 5000 A Pause    
20:23:44 5000 A Pause    
20:23:49 5000 A Pause    
20:23:54 5000 A Pause    
20:23:59 5000 A Pause    
20:24:04 5000 A Pause    
20:24:09 5000 A Pause    
20:24:14 5000 A Pause    
20:24:19 5000 A Pause    
20:24:24 5000 A Pause    
20:24:29 5000 A Pause    
20:24:34 5000 A Pause    
20:24:39 5000 A Pause    
20:24:44 5000 A Pause    
20:24:49 5000 A Pause    
20:24:54 5000 A Pause    
20:24:59 5000 A Pause    
20:25:04 5000 A Pause    
20:25:09 5000 A Pause    
20:25:14 5000 A Pause    
20:25:19 5000 A Pause    
20:25:24 5000 A Pause    
20:25:29 5000 A Pause    
20:25:34 5000 A Pause    
20:25:39 5000 A Pause    
20:25:44 5000 A Pause    
20:25:49 5000 A Pause    
20:25:54 5000 A Pause    
20:25:59 5000 A Pause    
20:26:04 5000 A Pause    
20:26:09 5000 A Pause    
20:26:14 5000 A Pause    
20:26:19 5000 A Pause    
20:26:24 5000 A Pause    
20:26:29 5000 A Pause    
20:26:34 5000 A Pause    
20:26:39 5000 A Pause    
20:26:44 5000 A Pause    
20:26:49 5000 A Pause    
20:26:54 5000 A Pause    
20:26:59 5000 A Pause    
20:27:04 5000 A Pause    
20:27:09 5000 A Pause    
20:27:14 5000 A Pause    
20:27:19 5000 A Pause    
20:27:24 5000 A Pause    
20:27:29 5000 A Pause    
20:27:34 5000 A Pause    
20:27:39 5000 A Pause    
20:27:44 5000 A Pause    
20:27:49 5000 A Pause    
20:27:54 5000 A Pause    
20:27:59 5000 A Pause    
20:28:04 5000 A Pause    
20:28:09 5000 A Pause    
20:28:14 5000 A Pause    
20:28:19 5000 A Pause    
20:28:24 5000 A Pause    
20:28:29 5000 A Pause    
20:28:34 5000 A Pause    
20:28:39 5000 A Pause    
20:28:44 5000 A Pause    
20:28:49 5000 A Pause    
20:28:54 5000 A Pause    
20:28:59 5000 A Pause    
20:29:04 5000 A Pause    
20:29:09 5000 A Pause    
20:29:14 5000 A Pause    
20:29:19 5000 A Pause    
20:29:24 5000 A Pause    
20:29:29 5000 A Pause    
20:29:34 5000 A Pause    
20:29:39 5000 A Pause    
20:29:44 5000 A Pause    
20:29:49 5000 A Pause    
20:29:54 5000 A Pause    
20:29:59 5000 A Pause    
20:30:04 5000 A Pause    
20:30:09 5000 A Pause    
20:30:14 5000 A Pause    
20:30:19 5000 A Pause    
20:30:24 5000 A Pause    
20:30:29 5000 A Pause    
20:30:34 5000 A Pause    
20:30:39 5000 A Pause    
