11:46:47 5040 A     
11:46:52 5000 A     
11:46:57 5000 A Pause    
11:47:02 5000 A Pause    
11:47:07 5000 A Pause    
11:47:12 5000 A Pause    
11:47:17 5000 A Pause    
11:47:22 5000 A Pause    
11:47:27 5000 A Pause    
11:47:32 5000 A Pause    
11:47:37 5000 A Pause    
11:47:42 5000 A Pause    
11:47:47 5000 A Pause    
11:47:52 5000 A Pause    
11:47:57 5000 A Pause    
11:48:02 5000 A Pause    
11:48:07 5000 A Pause    
11:48:12 5000 A Pause    
11:48:17 5000 A Pause    
11:48:22 5000 A Pause    
11:48:27 5000 A Pause    
11:48:32 5000 A Pause    
11:48:37 5000 A Pause    
11:48:42 5000 A Pause    
11:48:47 5000 A Pause    
11:48:52 5000 A Pause    
11:48:57 5000 A Pause    
11:49:02 5000 A Pause    
11:49:07 5000 A Pause    
11:49:12 5000 A Pause    
11:49:17 5000 A Pause    
11:49:22 5000 A Pause    
11:49:27 5000 A Pause    
11:49:32 5000 A Pause    
11:49:37 5000 A Pause    
11:49:42 5000 A Pause    
11:49:47 5000 A Pause    
11:49:52 5000 A Pause    
11:49:57 5000 A Pause    
11:50:02 5000 A Pause    
11:50:07 5000 A Pause    
11:50:12 5000 A Pause    
11:50:17 5000 A Pause    
11:50:22 5000 A Pause    
11:50:27 5000 A Pause    
11:50:32 5000 A Pause    
11:50:37 5000 A Pause    
11:50:42 5000 A Pause    
11:50:47 5000 A Pause    
11:50:52 5000 A Pause    
11:50:57 5000 A Pause    
11:51:02 5000 A Pause    
11:51:07 5000 A Pause    
11:51:12 5000 A Pause    
11:51:17 5000 A Pause    
11:51:22 5000 A Pause    
11:51:27 5000 A Pause    
11:51:32 5000 A Pause    
11:51:37 5000 A Pause    
11:51:42 5000 A Pause    
11:51:47 5000 A Pause    
11:51:52 5000 A Pause    
11:51:57 5000 A Pause    
11:52:02 5000 A Pause    
11:52:07 5000 A Pause    
11:52:12 5000 A Pause    
11:52:17 5000 A Pause    
11:52:22 5000 A Pause    
11:52:27 5000 A Pause    
11:52:32 5000 A Pause    
11:52:37 5000 A Pause    
11:52:42 5000 A Pause    
11:52:47 5000 A Pause    
11:52:52 5000 A Pause    
11:52:57 5000 A Pause    
11:53:02 5000 A Pause    
11:53:07 5000 A Pause    
11:53:12 5000 A Pause    
11:53:17 5000 A Pause    
11:53:22 5000 A Pause    
11:53:27 5000 A Pause    
11:53:32 5000 A Pause    
11:53:37 5000 A Pause    
11:53:42 5000 A Pause    
11:53:47 5000 A Pause    
11:53:52 5000 A Pause    
11:53:57 5000 A Pause    
11:54:02 5000 A Pause    
11:54:07 5000 A Pause    
11:54:12 5000 A Pause    
11:54:17 5000 A Pause    
11:54:22 5000 A Pause    
11:54:27 5000 A Pause    
11:54:32 5000 A Pause    
11:54:37 5000 A Pause    
11:54:42 5000 A Pause    
11:54:47 5000 A Pause    
11:54:52 5000 A Pause    
11:54:57 5000 A Pause    
11:55:02 5000 A Pause    
11:55:07 5000 A Pause    
11:55:12 5000 A Pause    
11:55:17 5000 A Pause    
11:55:22 5000 A Pause    
11:55:27 5000 A Pause    
11:55:32 5000 A Pause    
11:55:37 5000 A Pause    
11:55:42 5000 A Pause    
11:55:47 5000 A Pause    
11:55:52 5000 A Pause    
11:55:57 5000 A Pause    
11:56:02 5000 A Pause    
11:56:07 5000 A Pause    
11:56:12 5000 A Pause    
11:56:17 5000 A Pause    
11:56:22 5000 A Pause    
11:56:27 5000 A Pause    
11:56:32 5000 A Pause    
11:56:37 5000 A Pause    
11:56:42 5000 A Pause    
11:56:47 5000 A Pause    
11:56:52 5000 A Pause    
11:56:57 5000 A Pause    
11:57:02 5000 A Pause    
11:57:07 5000 A Pause    
11:57:12 5000 A Pause    
11:57:17 5000 A Pause    
11:57:20 3075 A Pause    
11:57:25 5000 A CP    
11:57:30 5000 A Pause    
11:57:35 5000 A Pause    
11:57:40 5000 A Pause    
11:57:45 5000 A Pause    
11:57:50 5000 A Pause    
11:57:55 5000 A Pause    
11:58:00 5000 A Pause    
11:58:05 5000 A Pause    
11:58:10 5000 A Pause    
11:58:15 5000 A Pause    
