11:38:58 5040 A     
11:39:03 5000 A     
11:39:08 5000 A Pause    
11:39:13 5000 A Pause    
11:39:18 5000 A Pause    
11:39:23 5000 A Pause    
11:39:28 5000 A Pause    
11:39:33 5000 A Pause    
11:39:38 5000 A Pause    
11:39:43 5000 A Pause    
11:39:48 5000 A Pause    
11:39:53 5000 A Pause    
11:39:58 5000 A Pause    
11:40:03 5000 A Pause    
11:40:08 5000 A Pause    
11:40:13 5000 A Pause    
11:40:18 5000 A Pause    
11:40:23 5000 A Pause    
11:40:28 5000 A Pause    
11:40:33 5000 A Pause    
11:40:38 5000 A Pause    
11:40:43 5000 A Pause    
11:40:48 5000 A Pause    
11:40:53 5000 A Pause    
11:40:58 5000 A Pause    
11:41:03 5000 A Pause    
11:41:08 5000 A Pause    
11:41:13 5000 A Pause    
11:41:18 5000 A Pause    
11:41:23 5000 A Pause    
11:41:28 5000 A Pause    
11:41:33 5000 A Pause    
11:41:38 5000 A Pause    
11:41:43 5000 A Pause    
11:41:48 5000 A Pause    
11:41:53 5000 A Pause    
11:41:58 5000 A Pause    
11:42:03 5000 A Pause    
11:42:08 5000 A Pause    
11:42:13 5000 A Pause    
11:42:18 5000 A Pause    
11:42:23 5000 A Pause    
11:42:28 5000 A Pause    
11:42:33 5000 A Pause    
11:42:38 5000 A Pause    
11:42:43 5000 A Pause    
11:42:48 5000 A Pause    
11:42:53 5000 A Pause    
11:42:58 5000 A Pause    
11:43:03 5000 A Pause    
11:43:08 5000 A Pause    
11:43:13 5000 A Pause    
11:43:18 5000 A Pause    
11:43:23 5000 A Pause    
11:43:28 5000 A Pause    
11:43:33 5000 A Pause    
11:43:38 5000 A Pause    
11:43:43 5000 A Pause    
11:43:48 5000 A Pause    
11:43:53 5000 A Pause    
11:43:58 5000 A Pause    
11:44:03 5000 A Pause    
11:44:08 5000 A Pause    
11:44:13 5000 A Pause    
11:44:18 5000 A Pause    
11:44:23 5000 A Pause    
11:44:28 5000 A Pause    
11:44:33 5000 A Pause    
11:44:38 5000 A Pause    
11:44:43 5000 A Pause    
11:44:48 5000 A Pause    
11:44:53 5000 A Pause    
11:44:58 5000 A Pause    
11:45:03 5000 A Pause    
11:45:08 5000 A Pause    
11:45:13 5000 A Pause    
11:45:18 5000 A Pause    
11:45:23 5000 A Pause    
11:45:28 5000 A Pause    
11:45:33 5000 A Pause    
11:45:38 5000 A Pause    
11:45:43 5000 A Pause    
11:45:48 5000 A Pause    
11:45:53 5000 A Pause    
11:45:58 5000 A Pause    
11:46:03 5000 A Pause    
11:46:08 5000 A Pause    
11:46:13 5000 A Pause    
11:46:18 5000 A Pause    
11:46:23 5000 A Pause    
11:46:28 5000 A Pause    
11:46:33 5000 A Pause    
