16:51:29 5040 A     
16:51:34 5000 A     
16:51:39 5000 A Pause    
16:51:44 5000 A Pause    
16:51:49 5000 A Pause    
16:51:54 5000 A Pause    
16:51:59 5000 A Pause    
16:52:04 5000 A Pause    
16:52:09 5000 A Pause    
16:52:14 5000 A Pause    
16:52:19 5000 A Pause    
16:52:24 5000 A Pause    
16:52:29 5000 A Pause    
16:52:34 5000 A Pause    
16:52:39 5000 A Pause    
16:52:44 5000 A Pause    
16:52:49 5000 A Pause    
16:52:54 5000 A Pause    
16:52:59 5000 A Pause    
16:53:04 5000 A Pause    
16:53:09 5000 A Pause    
16:53:14 5000 A Pause    
16:53:19 5000 A Pause    
16:53:24 5000 A Pause    
16:53:29 5000 A Pause    
16:53:34 5000 A Pause    
16:53:39 5000 A Pause    
16:53:44 5000 A Pause    
16:53:49 5000 A Pause    
16:53:54 5000 A Pause    
16:53:59 5000 A Pause    
16:54:04 5000 A Pause    
16:54:09 5000 A Pause    
16:54:14 5000 A Pause    
16:54:19 5000 A Pause    
16:54:24 5000 A Pause    
16:54:29 5000 A Pause    
16:54:34 5000 A Pause    
16:54:39 5000 A Pause    
16:54:44 5000 A Pause    
16:54:49 5000 A Pause    
16:54:54 5000 A Pause    
16:54:59 5000 A Pause    
16:55:04 5000 A Pause    
16:55:09 5000 A Pause    
16:55:14 5000 A Pause    
16:55:19 5000 A Pause    
16:55:24 5000 A Pause    
16:55:29 5000 A Pause    
16:55:34 5000 A Pause    
16:55:39 5000 A Pause    
16:55:44 5000 A Pause    
16:55:49 5000 A Pause    
16:55:54 5000 A Pause    
16:55:59 5000 A Pause    
16:56:04 5000 A Pause    
16:56:09 5000 A Pause    
16:56:14 5000 A Pause    
16:56:19 5000 A Pause    
16:56:24 5000 A Pause    
16:56:29 5000 A Pause    
16:56:34 5000 A Pause    
16:56:39 5000 A Pause    
16:56:44 5000 A Pause    
16:56:49 5000 A Pause    
16:56:54 5000 A Pause    
16:56:59 5000 A Pause    
16:57:04 5000 A Pause    
16:57:09 5000 A Pause    
16:57:14 5000 A Pause    
16:57:19 5000 A Pause    
16:57:24 5000 A Pause    
16:57:29 5000 A Pause    
16:57:34 5000 A Pause    
16:57:39 5000 A Pause    
16:57:44 5000 A Pause    
16:57:49 5000 A Pause    
16:57:54 5000 A Pause    
16:57:59 5000 A Pause    
16:58:04 5000 A Pause    
16:58:09 5000 A Pause    
16:58:14 5000 A Pause    
16:58:19 5000 A Pause    
16:58:24 5000 A Pause    
16:58:29 5000 A Pause    
16:58:34 5000 A Pause    
16:58:39 5000 A Pause    
16:58:44 5000 A Pause    
16:58:49 5000 A Pause    
16:58:54 5000 A Pause    
16:58:59 5000 A Pause    
16:59:04 5000 A Pause    
16:59:09 5000 A Pause    
16:59:14 5000 A Pause    
16:59:19 5000 A Pause    
16:59:24 5000 A Pause    
16:59:29 5000 A Pause    
16:59:34 5000 A Pause    
16:59:39 5000 A Pause    
16:59:44 5000 A Pause    
16:59:49 5000 A Pause    
16:59:54 5000 A Pause    
16:59:59 5000 A Pause    
17:00:04 5000 A Pause    
17:00:09 5000 A Pause    
17:00:14 5000 A Pause    
17:00:19 5000 A Pause    
17:00:24 5000 A Pause    
17:00:29 5000 A Pause    
17:00:34 5000 A Pause    
17:00:39 5000 A Pause    
17:00:44 5000 A Pause    
17:00:49 5000 A Pause    
17:00:54 5000 A Pause    
17:00:59 5000 A Pause    
17:01:04 5000 A Pause    
17:01:09 5000 A Pause    
17:01:14 5000 A Pause    
17:01:19 5000 A Pause    
17:01:24 5000 A Pause    
17:01:29 5000 A Pause    
17:01:34 5000 A Pause    
17:01:39 5000 A Pause    
17:01:44 5000 A Pause    
17:01:49 5000 A Pause    
17:01:54 5000 A Pause    
17:01:59 5000 A Pause    
17:02:04 5000 A Pause    
17:02:09 5000 A Pause    
17:02:14 5000 A Pause    
17:02:19 5000 A Pause    
17:02:24 5000 A Pause    
17:02:29 5000 A Pause    
17:02:34 5000 A Pause    
17:02:39 5000 A Pause    
17:02:44 5000 A Pause    
17:02:49 5000 A Pause    
17:02:54 5000 A Pause    
17:02:59 5000 A Pause    
17:03:04 5000 A Pause    
17:03:09 5000 A Pause    
17:03:14 5000 A Pause    
17:03:19 5000 A Pause    
17:03:24 5000 A Pause    
17:03:29 5000 A Pause    
17:03:34 5000 A Pause    
17:03:39 5000 A Pause    
17:03:44 5000 A Pause    
17:03:49 5000 A Pause    
17:03:54 5000 A Pause    
17:03:59 5000 A Pause    
17:04:04 5000 A Pause    
17:04:09 5000 A Pause    
17:04:14 5000 A Pause    
17:04:19 5000 A Pause    
17:04:24 5000 A Pause    
17:04:29 5000 A Pause    
17:04:34 5000 A Pause    
17:04:39 5000 A Pause    
17:04:44 5000 A Pause    
17:04:49 5000 A Pause    
17:04:54 5000 A Pause    
17:04:59 5000 A Pause    
17:05:04 5000 A Pause    
17:05:09 5000 A Pause    
17:05:14 5000 A Pause    
17:05:19 5000 A Pause    
17:05:24 5000 A Pause    
17:05:29 5000 A Pause    
17:05:34 5000 A Pause    
17:05:39 5000 A Pause    
17:05:44 5000 A Pause    
17:05:49 5000 A Pause    
17:05:54 5000 A Pause    
17:05:59 5000 A Pause    
17:06:04 5000 A Pause    
17:06:09 5000 A Pause    
17:06:14 5000 A Pause    
17:06:19 5000 A Pause    
17:06:24 5000 A Pause    
17:06:29 5000 A Pause    
17:06:34 5000 A Pause    
17:06:39 5000 A Pause    
17:06:44 5000 A Pause    
17:06:49 5000 A Pause    
17:06:54 5000 A Pause    
17:06:59 5000 A Pause    
17:07:04 5000 A Pause    
17:07:09 5000 A Pause    
17:07:14 5000 A Pause    
17:07:19 5000 A Pause    
17:07:24 5000 A Pause    
17:07:29 5000 A Pause    
17:07:34 5000 A Pause    
17:07:39 5000 A Pause    
17:07:44 5000 A Pause    
17:07:49 5000 A Pause    
17:07:54 5000 A Pause    
17:07:59 5000 A Pause    
17:08:04 5000 A Pause    
17:08:09 5000 A Pause    
17:08:14 5000 A Pause    
17:08:19 5000 A Pause    
17:08:24 5000 A Pause    
17:08:29 5000 A Pause    
17:08:34 5000 A Pause    
17:08:39 5000 A Pause    
17:08:44 5000 A Pause    
17:08:49 5000 A Pause    
17:08:54 5000 A Pause    
17:08:59 5000 A Pause    
17:09:04 5000 A Pause    
17:09:09 5000 A Pause    
17:09:14 5000 A Pause    
17:09:19 5000 A Pause    
17:09:24 5000 A Pause    
17:09:29 5000 A Pause    
17:09:34 5000 A Pause    
17:09:39 5000 A Pause    
17:09:44 5000 A Pause    
17:09:49 5000 A Pause    
17:09:54 5000 A Pause    
17:09:59 5000 A Pause    
17:10:04 5000 A Pause    
17:10:09 5000 A Pause    
17:10:14 5000 A Pause    
17:10:19 5000 A Pause    
17:10:24 5000 A Pause    
17:10:29 5000 A Pause    
17:10:34 5000 A Pause    
17:10:39 5000 A Pause    
17:10:44 5000 A Pause    
17:10:49 5000 A Pause    
17:10:54 5000 A Pause    
17:10:59 5000 A Pause    
17:11:04 5000 A Pause    
17:11:09 5000 A Pause    
17:11:14 5000 A Pause    
17:11:19 5000 A Pause    
17:11:24 5000 A Pause    
17:11:29 5000 A Pause    
17:11:34 5000 A Pause    
17:11:39 5000 A Pause    
17:11:44 5000 A Pause    
17:11:49 5000 A Pause    
17:11:54 5000 A Pause    
17:11:59 5000 A Pause    
17:12:04 5000 A Pause    
17:12:09 5000 A Pause    
17:12:14 5000 A Pause    
17:12:19 5000 A Pause    
17:12:24 5000 A Pause    
17:12:29 5000 A Pause    
17:12:34 5000 A Pause    
17:12:39 5000 A Pause    
17:12:44 5000 A Pause    
17:12:49 5000 A Pause    
17:12:54 5000 A Pause    
17:12:59 5000 A Pause    
17:13:04 5000 A Pause    
17:13:09 5000 A Pause    
17:13:14 5000 A Pause    
17:13:19 5000 A Pause    
17:13:24 5000 A Pause    
17:13:29 5000 A Pause    
17:13:34 5000 A Pause    
17:13:39 5000 A Pause    
17:13:44 5000 A Pause    
17:13:49 5000 A Pause    
17:13:54 5000 A Pause    
17:13:59 5000 A Pause    
17:14:04 5000 A Pause    
17:14:09 5000 A Pause    
17:14:14 5000 A Pause    
17:14:19 5000 A Pause    
17:14:24 5000 A Pause    
17:14:29 5000 A Pause    
17:14:34 5000 A Pause    
17:14:39 5000 A Pause    
17:14:44 5000 A Pause    
17:14:49 5000 A Pause    
17:14:54 5000 A Pause    
17:14:59 5000 A Pause    
17:15:04 5000 A Pause    
17:15:09 5000 A Pause    
17:15:14 5000 A Pause    
17:15:19 5000 A Pause    
17:15:24 5000 A Pause    
17:15:29 5000 A Pause    
17:15:34 5000 A Pause    
17:15:39 5000 A Pause    
